0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:46 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:46 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:46 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:46 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:48 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:48 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:48 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:52 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:52 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:55 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:55 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:56 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:56 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:56 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:16:56 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:17:00 -0700] "POST /MVCProject/rest/user/1/story HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:17:00 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:24 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:24 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:24 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:25 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:18:25 -0700] "GET /MVCProject/rest/user/1/story HTTP/1.1" 200 124
